vector_id,N_ANC,N_AFR,N_EUR,N_ADMIX,ADMIX_TIME,p_AFR,SPLIT_TIME,p_EUR,likelihood,posterior
138,11923,17722,7728,11310,10,0.7987227136051439,2000,0.2012772863948561,0.0,0.0
139,9869,21432,10422,7417,10,0.8485504062635587,2000,0.1514495937364413,0.05,0.0022999080036798527
140,11257,22687,5127,11788,8,0.829810309780824,2000,0.17018969021917596,0.0,0.0
141,7238,15959,7160,9433,10,0.8232601743532021,2000,0.1767398256467979,0.0,0.0
142,11311,18097,9358,8293,9,0.8142129021509964,2000,0.1857870978490036,0.0,0.0
143,7288,28171,7658,12632,10,0.7309321792700444,2000,0.2690678207299556,0.0,0.0
144,10021,27663,10678,12144,11,0.8346561516481859,2000,0.16534384835181415,0.0,0.0
145,9176,19227,12222,11704,9,0.7788400024242997,2000,0.22115999757570026,0.0,0.0
146,8559,16685,9997,10420,11,0.7376819407444928,2000,0.2623180592555072,0.0,0.0
147,12095,20896,8042,9491,11,0.8542070059762488,2000,0.14579299402375123,0.1,0.004599816007359705
148,10671,29900,10073,10219,10,0.7702507347710921,2000,0.22974926522890793,0.0,0.0
149,10959,13407,11396,11994,10,0.7059270004649616,2000,0.2940729995350384,0.0,0.0
150,8388,20824,8079,12595,9,0.7875208082827677,2000,0.21247919171723229,0.0,0.0
151,10338,10069,10938,11926,9,0.8374321121483452,2000,0.16256788785165477,0.01,0.0004599816007359705
152,12122,23665,10116,8215,10,0.8866689369057509,2000,0.11333106309424912,0.71,0.032658693652253906
153,8752,26017,6895,6808,10,0.8403167994477672,2000,0.15968320055223284,0.02,0.000919963201471941
154,11167,22605,13144,8774,9,0.7381447094016722,2000,0.2618552905983278,0.0,0.0
155,10826,29423,10288,11250,10,0.7669083548210974,2000,0.23309164517890257,0.0,0.0
156,10088,20100,10505,11083,10,0.8427282864196687,2000,0.15727171358033132,0.01,0.0004599816007359705
157,8831,19170,6523,9088,10,0.8478017659673247,2000,0.1521982340326753,0.07,0.003219871205151794
